ElNo,Date,Grade,Success,ExpR,UsualR,PredictedR,BestR,LastS,EstS,MeasuredS,BestS,NewSInc,NewS
55,Jun 04 2018 07:56:28,4,1,0.9575,0.9758,0.9744,0.9744,23.3673,24.3673,40.7492,33.1065,1.4168,34.1065,
57,May 15 2018 05:58:25,2,0,0.1946,0.9683,0.9424,0.9424,0.7,0.7,19.3023,10.6443,2,1,
57,May 16 2018 06:55:38,4,1,0.8962,0.6422,0.6507,0.6507,10.6443,1,0.7,0.8497,0.8,2.695,
57,May 23 2018 06:50:40,1,0,0.7607,0.995,0.9812,0.9812,0.8497,2.695,38.8768,22.0365,2,1,
57,May 24 2018 07:26:22,4,1,0.8977,0.6455,0.6538,0.6538,22.0365,1,0.7,0.8488,0.8,2.6703,
57,May 27 2018 07:31:46,4,1,0.8882,0.7799,0.7862,0.7862,0.8488,2.6703,1.3154,2.002,2.3585,7.8701,
57,Jun 02 2018 11:53:56,4,1,0.9206,0.9581,0.9546,0.9546,2.002,7.8701,14.0269,11.1545,5.5718,16.0444,
57,Jun 13 2018 16:33:35,4,1,0.9291,0.9647,0.9615,0.9615,11.1545,16.0444,30.0449,23.5131,2.1079,26.5239,
58,May 15 2018 22:58:17,4,1,0.9668,0.995,0.994,0.994,36.1681,36.1681,201.3103,124.296,3.4366,125.296,
58,Jun 08 2018 09:41:13,4,1,0.9805,0.995,0.9939,0.9939,124.296,125.296,405.7306,274.9053,2.2117,275.9053,
63,May 14 2018 07:07:19,4,1,0.9579,0.995,0.9936,0.9936,36.1681,36.1681,243.8743,147.0111,4.0647,148.0111,
63,May 15 2018 05:42:43,3,1,0.995,0.9947,0.9947,0.9947,147.0111,148.0111,18.7087,79.0311,0.8,79.9724,
64,May 03 2018 13:35:47,2,0,0.5449,0.9028,0.8922,0.8922,0.7,0.7,3.7263,2.3178,2,1,
64,May 04 2018 07:17:24,2,0,0.9253,0.7783,0.7826,0.7826,2.3178,1,0.7,0.8294,0.5,1,
64,May 05 2018 07:47:03,2,0,0.8981,0.7758,0.7793,0.7793,0.8294,1,0.7,0.8396,1.0123,1,
64,May 06 2018 12:58:59,4,1,0.8797,0.7837,0.7865,0.7865,0.8396,1,0.7,0.8604,1.0248,11.2988,
64,May 14 2018 07:08:34,4,1,0.9302,0.995,0.9908,0.9908,0.8604,11.2988,88.8099,52.6529,20,53.6529,
64,May 15 2018 05:53:33,4,1,0.995,0.995,0.995,0.995,52.6529,53.6529,19.9245,35.6541,0.8,36.602,
64,Jun 09 2018 20:07:31,4,1,0.929,0.995,0.9899,0.9899,35.6541,36.602,266.1949,159.088,4.462,160.088,
66,May 14 2018 07:02:21,4,1,0.9579,0.995,0.9937,0.9937,36.1681,36.1681,244.2836,147.2302,4.0707,148.2302,
66,May 15 2018 05:46:59,4,1,0.995,0.9947,0.9947,0.9947,147.2302,148.2302,18.8327,79.1989,0.8,80.1466,
74,May 14 2018 07:20:32,2,0,0.2243,0.995,0.973,0.973,0.7,0.7,38.2024,20.7476,2,1,
74,May 15 2018 05:58:06,4,1,0.9054,0.7789,0.7825,0.7825,20.7476,1,0.7,0.8399,0.8,10.4196,
74,May 21 2018 07:05:28,4,1,0.9407,0.995,0.9916,0.9916,0.8399,10.4196,75.2996,45.0348,20,46.0348,
75,May 15 2018 22:55:25,4,1,0.9668,0.995,0.994,0.994,36.1681,36.1681,202.348,124.8513,3.452,125.8513,
